sentence_count,avg_sentence_length,avg_word_length,type_token_ratio,hapax_legomena_ratio,punctuation_density,comma_density,period_density,word_length_std,flesch_reading_ease,flesch_kincaid_grade,stopword_ratio,contraction_ratio,avg_syllables_per_word,long_word_ratio,passive_voice_hits,label
15.0,23.066666666666666,5.08092485549133,0.4797687861271676,0.34104046242774566,0.0659000442282176,1.2,1.0,3.3701057872824545,28.64834489402699,14.993861271676298,0.3901734104046243,0.0,1.829479768786127,0.36127167630057805,0.3333333333333333,0
23.0,11.26086956521739,4.803088803088803,0.49034749034749037,0.3127413127413127,0.016817593790426907,0.08695652173913043,1.0,2.6296185910125733,63.115642101729065,7.253476582172237,0.42084942084942084,0.0,1.5637065637065637,0.23552123552123552,0.043478260869565216,0
19.0,16.736842105263158,5.713836477987422,0.60062893081761,0.44339622641509435,0.04018058690744921,1.9473684210526316,1.0,3.158774899599893,25.435784508440946,13.869443892750748,0.34276729559748426,0.0,1.9433962264150944,0.36477987421383645,0.3684210526315789,0
12.0,28.25,6.100294985250738,0.504424778761062,0.3746312684365782,0.01796651694569212,1.1666666666666667,0.75,3.6029281644811393,0.9754092920354083,20.141364306784663,0.3834808259587021,0.0,2.094395280235988,0.415929203539823,0.08333333333333333,0
12.0,19.583333333333332,5.8808510638297875,0.6127659574468085,0.4553191489361702,0.02006079027355623,1.0833333333333333,1.0,2.992660404550933,26.397916666666674,14.442393617021278,0.32340425531914896,0.01702127659574468,1.897872340425532,0.4085106382978723,0.25,0
19.0,15.894736842105264,4.423841059602649,0.4337748344370861,0.2582781456953642,0.06283280085197018,1.631578947368421,1.1578947368421053,2.8608734971667182,62.401179853607545,8.50431160683165,0.4503311258278146,0.0,1.5165562913907285,0.2152317880794702,0.15789473684210525,1
16.0,16.5,4.829545454545454,0.5378787878787878,0.3409090909090909,0.018506700701978303,0.6875,0.9375,2.3478952094590064,58.38068181818184,9.215454545454545,0.49242424242424243,0.003787878787878788,1.5568181818181819,0.23106060606060605,0.1875,0
18.0,20.11111111111111,5.226519337016574,0.4861878453038674,0.31767955801104975,0.07667473769168684,1.9444444444444444,1.0,2.971980297799778,34.048741559238806,13.506372007366487,0.292817679558011,0.0,1.8011049723756907,0.35359116022099446,0.5555555555555556,0
11.0,19.181818181818183,4.777251184834123,0.6682464454976303,0.5023696682464455,0.024681528662420384,1.3636363636363635,1.0,2.539293857964405,55.453606204222325,10.289961223610515,0.45023696682464454,0.0,1.5592417061611374,0.22274881516587677,0.09090909090909091,1
21.0,17.0,6.397759103641457,0.5994397759103641,0.4369747899159664,0.027563395810363836,1.4285714285714286,0.9523809523809523,3.4101176726630302,-3.5544537815125636,17.97837535014006,0.2857142857142857,0.0028011204481792717,2.2829131652661063,0.5070028011204482,0.047619047619047616,0
26.0,14.423076923076923,5.786666666666667,0.48533333333333334,0.328,0.037960550800148866,1.0769230769230769,1.0,2.985714133819393,25.251576923076954,13.320333333333334,0.3466666666666667,0.0,1.9733333333333334,0.4,0.19230769230769232,0
45.0,7.288888888888889,5.908536585365853,0.4451219512195122,0.2926829268292683,0.09107468123861566,0.7555555555555555,1.0,3.431941113952441,30.49470460704609,10.816691056910571,0.2652439024390244,0.0,1.9969512195121952,0.4024390243902439,0.06666666666666667,0
16.0,21.5,4.848837209302325,0.561046511627907,0.38953488372093026,0.01901511457825451,1.125,1.0,2.4942605832631277,53.19389534883723,11.181046511627908,0.4331395348837209,0.0,1.558139534883721,0.24709302325581395,0.0625,1
6.0,41.333333333333336,4.350806451612903,0.4959677419354839,0.2862903225806452,0.004497751124437781,0.16666666666666666,0.8333333333333334,2.513255053220628,43.4397311827957,17.46870967741936,0.4879032258064516,0.0,1.435483870967742,0.2056451612903226,0.0,0
23.0,15.652173913043478,5.808333333333334,0.5861111111111111,0.44722222222222224,0.036921881072677805,0.9565217391304348,1.0,3.0920035755333646,22.68804347826088,13.983236714975849,0.2972222222222222,0.0,1.988888888888889,0.4083333333333333,0.17391304347826086,0
18.0,19.22222222222222,4.479768786127168,0.3786127167630058,0.23410404624277456,0.11402298850574713,1.3888888888888888,1.0,3.184299626038645,43.06432883750804,12.028053949903661,0.27167630057803466,0.0,1.7052023121387283,0.2832369942196532,0.2222222222222222,0
15.0,16.933333333333334,3.4921259842519685,0.3661417322834646,0.2047244094488189,0.08947745168217609,1.6666666666666667,1.0,3.074843477207388,66.07837532808401,8.249433070866143,0.22440944881889763,0.0,1.4606299212598426,0.1968503937007874,0.13333333333333333,1
21.0,18.952380952380953,6.14321608040201,0.5804020100502513,0.41959798994974873,0.028921401837359646,1.1428571428571428,1.0,3.1330771729084033,8.620443886097178,16.76524766690596,0.3065326633165829,0.0,2.1155778894472363,0.4723618090452261,0.19047619047619047,0
12.0,21.833333333333332,5.343511450381679,0.6412213740458015,0.4770992366412214,0.020058997050147492,1.25,1.0,2.8102076540763306,38.40012086513997,13.327290076335878,0.3969465648854962,0.0,1.7290076335877862,0.3244274809160305,0.3333333333333333,1
8.0,16.0,4.5859375,0.5078125,0.328125,0.02194787379972565,0.875,0.875,2.0137315476730633,77.57468750000001,6.4140625000000036,0.3046875,0.0,1.3359375,0.15625,0.0,0
18.0,19.055555555555557,6.297376093294461,0.6355685131195336,0.5014577259475219,0.04065976217874952,1.2777777777777777,1.0,3.371838282993238,4.7280134434726335,17.333794946550054,0.3032069970845481,0.0058309037900874635,2.1603498542274053,0.5014577259475219,0.1111111111111111,0
17.0,19.705882352941178,5.065671641791044,0.5432835820895522,0.3850746268656716,0.016835016835016835,0.6470588235294118,1.0,3.036374125907312,40.614424934152794,12.4899209833187,0.4417910447761194,0.0,1.7283582089552239,0.2507462686567164,0.17647058823529413,1
14.0,17.857142857142858,4.772,0.596,0.42,0.019034670292318152,0.9285714285714286,1.0,2.409982572551096,60.79480000000001,9.215885714285715,0.472,0.0,1.512,0.224,0.0,1
17.0,22.470588235294116,5.350785340314136,0.5497382198952879,0.40575916230366493,0.0244195356285028,1.1764705882352942,1.0,2.955602880712528,31.65876655374194,14.425885432707116,0.3769633507853403,0.0,1.801047120418848,0.337696335078534,0.23529411764705882,1
29.0,11.448275862068966,5.954819277108434,0.5873493975903614,0.46686746987951805,0.04434678385936876,1.103448275862069,1.0,3.2747308769938375,25.250542168674713,12.581454092230999,0.26506024096385544,0.0030120481927710845,2.0090361445783134,0.40963855421686746,0.034482758620689655,0
15.0,17.133333333333333,4.712062256809339,0.6186770428015564,0.4591439688715953,0.02384105960264901,1.0,1.0,2.6204022970640826,54.15050324254216,9.96281712062257,0.4163424124513619,0.0,1.5992217898832686,0.2490272373540856,0.13333333333333333,1
19.0,18.05263157894737,4.880466472303207,0.3965014577259475,0.2478134110787172,0.05733634311512415,0.9473684210526315,1.0,3.170609898638173,39.783299063986505,12.195132729783644,0.35276967930029157,0.0,1.7580174927113703,0.2886297376093295,0.3684210526315789,0
